Scene,Target,Source,Fitness,Inlier RMSE,Transformation
sun3d-hotel_umd-maryland_hotel3,33,35,0.5071331840549201,0.01366418849471432,"[[0.834813522916, 0.012734325044, -0.550385518452, 0.202702964745], [-0.056400574129, 0.996450546813, -0.062492263471, 0.050716877289], [0.547636154024, 0.083211445856, 0.832568614641, 0.134603915748], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel3,24,28,0.7275234687949118,0.01322143471585538,"[[0.957323472382, -0.182797103812, 0.223868238179, 0.066966493139], [0.135121577773, 0.967791009873, 0.212421092243, 0.052098697899], [-0.255487628756, -0.173106268077, 0.95118888319, 0.025772396334], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel3,8,16,0.39318957251919345,0.01379948865638089,"[[0.929733519016, -0.215941069074, 0.298270076115, 0.593653177108], [0.203188173843, 0.976375650149, 0.073519764728, -0.579958962431], [-0.307099576081, -0.0077488375, 0.951645840577, 1.054132648431], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_md-home_md_scan9_2012_sep_30,54,56,0.511791661423598,0.016976083836185013,"[[0.997886357596, -0.010323114325, -0.064158013011, 0.145658832354], [-0.025694759407, 0.84416191827, -0.535472160885, -0.103146518341], [0.05968749167, 0.535988888928, 0.842112411905, -0.212385050628], [0.0, 0.0, 0.0, 1.0]]"
sun3d-home_md-home_md_scan9_2012_sep_30,8,37,0.9467215178038448,0.01002650844618221,"[[0.790111486763, -0.437160385104, 0.42966805348, -1.451669651995], [0.310934845856, 0.88993241949, 0.333676205884, -0.64325355965], [-0.528245549075, -0.13004263315, 0.839074224038, 1.03280226301], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel1,5,13,0.45218060581840247,0.01683997117905148,"[[0.597849321984, -0.32783931537, 0.731503637381, -1.629910116058], [0.497277741156, 0.867411449858, -0.017669884143, 0.338070348668], [-0.628721747957, 0.374324404698, 0.681608541388, -0.090976936227], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel1,15,23,0.5993693849708346,0.016188365839625834,"[[0.6206611975, -0.312723387679, 0.719015827862, -1.756249461633], [0.440649275257, 0.897623281286, 0.010033001007, 0.515222641918], [-0.648542900766, 0.310606709026, 0.694921274803, -0.452921392824], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_umd-maryland_hotel1,50,54,0.6153903281306086,0.013682808271361476,"[[0.924282520011, 0.16311630807, -0.345101279689, 0.193438019301], [-0.209180712442, 0.972700066646, -0.100488854557, -0.120136844549], [0.319288666795, 0.165068623273, 0.933170454347, 0.07572575824], [0.0, 0.0, 0.0, 1.0]]"
sun3d-hotel_uc-scan3,34,46,0.7170005680742284,0.014514912898476695,"[[0.650597332371, 0.297081388432, -0.698903254935, 2.155100251365], [-0.369719818254, 0.927785862509, 0.050206068541, -0.567336092845], [0.66334784774, 0.22573445013, 0.713451884098, 0.70394700341], [0.0, 0.0, 0.0, 1.0]]"
7-scenes-redkitchen,48,50,0.9562758977900553,0.009676011439436036,"[[0.997601542417, 0.007177157276, 0.06884512315, 0.071649953515], [-0.015669263388, 0.992206223913, 0.123617488296, -0.028691003083], [-0.06742133752, -0.124399749362, 0.989938920139, 0.272128653637], [0.0, 0.0, 0.0, 1.0]]"
